date,JDUT,Ls
2100-05-01,2488189.5,28.892856236465903
2100-07-27,2488276.5,31.708276938812826
2100-10-22,2488363.5,34.49569889346241
2101-01-17,2488450.5,37.28360475763517
2101-04-14,2488537.5,40.04633128190397
2101-07-10,2488624.5,42.80549175745415
2101-10-05,2488711.5,45.54820893498602
2101-12-31,2488798.5,48.27937386109922
2102-03-28,2488885.5,51.005434098782075
2102-06-23,2488972.5,53.709610680818926
2102-09-18,2489059.5,56.42057152067579
2102-12-14,2489146.5,59.10130283178883
2103-03-11,2489233.5,61.79650834168482
2103-06-06,2489320.5,64.4589070730455
2103-09-01,2489407.5,67.13723244563676
2103-11-27,2489494.5,69.78727997821
2104-02-22,2489581.5,72.44640582701463
2104-05-19,2489668.5,75.090061053812
2104-08-14,2489755.5,77.73101950307944
2104-11-09,2489842.5,80.37155594149993
2105-02-04,2489929.5,82.99500476684635
2105-05-02,2490016.5,85.63375175649239
2105-07-28,2490103.5,88.24591730112672
2105-10-23,2490190.5,90.88179272642786
2106-01-18,2490277.5,93.48698224559351
2106-04-15,2490364.5,96.1183875416289
2106-07-11,2490451.5,98.72522498531534
2106-10-06,2490538.5,101.3509870803075
2107-01-01,2490625.5,103.96386968925412
2107-03-29,2490712.5,106.58411692436836
2107-06-24,2490799.5,109.20832114702732
2107-09-19,2490886.5,111.8256891909754
2107-12-15,2490973.5,114.46128094272969
2108-03-11,2491060.5,117.08062561654086
2108-06-06,2491147.5,119.727572455087
2108-09-01,2491234.5,122.35491181989502
2108-11-27,2491321.5,125.01123576996692
2109-02-22,2491408.5,127.65318598160081
2109-05-20,2491495.5,130.31895965137318
2109-08-15,2491582.5,132.97983120781922
2109-11-10,2491669.5,135.65555219646933
2110-02-05,2491756.5,138.33920650653275
2110-05-03,2491843.5,141.0279283877047
2110-07-29,2491930.5,143.73455009985753
2110-10-24,2492017.5,146.43993974742523
2111-01-19,2492104.5,149.1698575495363
2111-04-16,2492191.5,151.89719163018773
2111-07-12,2492278.5,154.64922871252563
2111-10-07,2492365.5,157.40248003135494
2112-01-02,2492452.5,160.1775140516282
2112-03-29,2492539.5,162.95980482100114
2112-06-24,2492626.5,165.7592130972679
2112-09-19,2492713.5,168.57164394344466
2112-12-15,2492800.5,171.39818430923427
2113-03-12,2492887.5,174.24092770370024
2113-06-07,2492974.5,177.09729726956468
2113-09-02,2493061.5,179.97022172761564
2113-11-28,2493148.5,182.8589051908883
2114-02-23,2493235.5,185.76223159703582
2114-05-21,2493322.5,188.6843249483523
2114-08-16,2493409.5,191.6191944496997
2114-11-11,2493496.5,194.57427824498183
2115-02-06,2493583.5,197.54264074575724
2115-05-04,2493670.5,200.52925951841485
2115-07-30,2493757.5,203.53250427737345
2115-10-25,2493844.5,206.54881487004783
2116-01-20,2493931.5,209.5879991589339
2116-04-16,2494018.5,212.63341340600343
2116-07-12,2494105.5,215.70700041698547
2116-10-07,2494192.5,218.78108922518518
2117-01-02,2494279.5,221.88665477442842
2117-03-30,2494366.5,224.9907727716448
2117-06-25,2494453.5,228.12312108103845
2117-09-20,2494540.5,231.25754341430596
2117-12-16,2494627.5,234.41213944907906
2118-03-13,2494714.5,237.57713187502745
2118-06-08,2494801.5,240.74907910807343
2118-09-03,2494888.5,243.94214953810592
2118-11-29,2494975.5,247.1297778758181
2119-02-24,2495062.5,250.3464516164071
2119-05-22,2495149.5,253.54830113512523
2119-08-17,2495236.5,256.78241721434586
2119-11-12,2495323.5,259.9999037187176
2120-02-07,2495410.5,263.24435571493433
2120-05-04,2495497.5,266.47643794675605
2120-07-30,2495584.5,269.7248472368542
2120-10-25,2495671.5,272.9717283139993
2121-01-20,2495758.5,276.2185648686008
2121-04-17,2495845.5,279.4749706284404
2121-07-13,2495932.5,282.7171216594044
2121-10-08,2496019.5,285.9782650321411
2122-01-03,2496106.5,289.2144598048383
2122-03-31,2496193.5,292.4709881878176
2122-06-26,2496280.5,295.70055598848484
2122-09-21,2496367.5,298.9456177166547
2122-12-17,2496454.5,302.16745821660555
2123-03-14,2496541.5,305.39362598553186
2123-06-09,2496628.5,308.60516498885244
2123-09-04,2496715.5,311.8083179114867
2123-11-30,2496802.5,315.005650350911
2124-02-25,2496889.5,318.1832318359011
2124-05-22,2496976.5,321.36137300160317
2124-08-17,2497063.5,324.51283285925155
2124-11-12,2497150.5,327.66571502136856
2125-02-07,2497237.5,330.7911582304261
2125-05-05,2497324.5,333.91435873749
2125-07-31,2497411.5,337.01316014994194
2125-10-26,2497498.5,340.10302068056757
2126-01-21,2497585.5,343.17368916644995
2126-04-18,2497672.5,346.2296469913901
2126-07-14,2497759.5,349.2698569846566
2126-10-09,2497846.5,352.29175219260554
2127-01-04,2497933.5,355.29914800983494
2127-04-01,2498020.5,358.28816044654457
2127-06-27,2498107.5,1.2610463815781203
2127-09-22,2498194.5,4.217650823000822
2127-12-18,2498281.5,7.155628247530221
2128-03-14,2498368.5,10.07976629401272
2128-06-09,2498455.5,12.984155947185142
2128-09-04,2498542.5,15.875066796147111
2128-11-30,2498629.5,18.748189594724014
2129-02-25,2498716.5,21.604999269416012
2129-05-23,2498803.5,24.449665668212432
2129-08-18,2498890.5,27.272715696240834
2129-11-13,2498977.5,30.090257393874786
2130-02-08,2499064.5,32.88099403269993
2130-05-06,2499151.5,35.672623319538424
2130-08-01,2499238.5,38.43481757551438
2130-10-27,2499325.5,41.19922472325602
2131-01-22,2499412.5,43.93697850552844
2131-04-19,2499499.5,46.6743254125772
2131-07-15,2499586.5,49.39331108033611
2131-10-10,2499673.5,52.102253288537774
2132-01-05,2499760.5,54.805425517891216
2132-04-01,2499847.5,57.48853635327296
2132-06-27,2499934.5,60.178738216096775
2132-09-22,2500021.5,62.838764390050386
2132-12-18,2500108.5,65.5146245524224
2133-03-15,2500195.5,68.15793104409286
2133-06-10,2500282.5,70.8191155018382
